source,target,id,developer_comments
flow_title#01-034,18. July 24th,flow_title#01-034,18.7月24日
flow_title#01-036,19. Resurrection!,flow_title#01-036,19.復活！
flow_title#01-038,20. The Demon's Palace,flow_title#01-038,20.伏魔殿
flow_title#01-039,21. Final Battle!!,flow_title#01-039,21.決戦！！
flow_title#01-041,22. Haine's Hometown,flow_title#01-041,22.ハイネの故郷
flow_title#01-042,23. Air Raid Alert,flow_title#01-042,23.空襲警報
flow_title#01-043,24. Last Battle,flow_title#01-043,24.ラストバトル
flow_title#01-045,25. Bye-Bye,flow_title#01-045,25.バイバイ
flow_title#01-046,26. Gift,flow_title#01-046,26.プレゼント
flow_title#01-048,I'm Home,flow_title#01-048,【ただいま】
flow_information#01-048,"July 22, 2018. Shinpei Ajiro, who lived in Tokyo, returned to his hometown of Hitogashima Island for the first time in two years. While occasionally feeling strange sensations, Shinpei hoped to reunite with loved ones.",flow_information#01-048,【ただいま】
flow_title#01-049,1. Homecoming After Two Years,flow_title#01-049,1.２年ぶりの帰省
flow_title#01-050,2. Shinpei and Ushio,flow_title#01-050,2.慎平と潮
flow_title#01-051,3. Welcome Back,flow_title#01-051,3.おかえり
flow_title#02-000,To Protect Mio,flow_title#02-000,【澪を守るために】
flow_information#02-000,"On July 24th, with unresolved issues like Ushio's cause of death and the existence of Shadows, the festival proceeded smoothly as Kaori Koyuba's live performance began.",flow_information#02-000,【澪を守るために】
flow_title#02-001,1. Live Stage,flow_title#02-001,1.ライブステージ
flow_title#02-002,2. Meeting Mio,flow_title#02-002,2.澪との合流
flow_title#02-003,3. A Dark Path,flow_title#02-003,3.暗い道のり
flow_title#02-005,4. Going Home,flow_title#02-005,4.帰宅
flow_title#02-006,5. Searching for a Hiding Place,flow_title#02-006,5.潜む場所を探して
flow_title#02-007,6. Huddling Together,flow_title#02-007,6.身を寄せあって
flow_title#02-008,7. Power Outage,flow_title#02-008,7.停電
flow_title#02-009,8. To the Harbor,flow_title#02-009,8.港へ
flow_title#02-011,9. Suspicious Minds,flow_title#02-011,9.疑心暗鬼
flow_title#02-012,10. Last Bus,flow_title#02-012,10.サイシュウビン
flow_title#02-013,11. Final Departure,flow_title#02-013,11.最終便
flow_title#02-014,12. Lost Light,flow_title#02-014,12.失われた光
flow_title#03-000,Hizuru and Ryunosuke,flow_title#03-000,【ひづると竜之介】
flow_information#03-000,"Shinpei and Ushio were transported to Hizuru's memories from 14 years ago, where they found Ryunosuke heading toward Mt. Takanosu. Knowing what would happen, Shinpei desperately tried to stop Ryunosuke. Would his voice reach him?",flow_information#03-000,【ひづると竜之介】
flow_title#03-001,1. Interference with the Past,flow_title#03-001,1.過去への干渉
flow_title#03-002,2. A Drowning Man Grasps at Straws,flow_title#03-002,2.溺れる者は藁をもつかむ
flow_title#03-004,3. Will a Demon or Snake Appear?,flow_title#03-004,3.鬼が出るか蛇が出るか
flow_title#03-005,4. Happy Birthday,flow_title#03-005,4.誕生日おめでとう
flow_title#03-007,5. Feeding,flow_title#03-007,5.食餌
flow_title#03-008,6. I Will Accept Everything,flow_title#03-008,6.私はすべてを受け入れる
flow_title#03-009,8. Haine's Right Eye,flow_title#03-009,8.ハイネの右目
flow_title#03-010,7. Between Times,flow_title#03-010,7.時の狭間
flow_title#03-012,9. Another Ending,flow_title#03-012,9.もうひとつの結末
flow_title#04-000,Tokiko's Decision,flow_title#04-000,【朱鷺子の決断】
flow_information#04-000,"Shinpei devised a plan to increase their group using Ushio's memory-sharing ability. If Tokiko, who had been used by Haine, became an ally, it would be reassuring, but he couldn't contact her.",flow_information#04-000,【朱鷺子の決断】
flow_title#04-001,1. Calling from the Window,flow_title#04-001,1.窓に電話
flow_title#04-002,[Tokiko Route - 7th Loop],flow_title#04-002,【朱鷺子ルート・７周目】
flow_information#04-002,"Shinpei collapsed from a sudden gunshot and looped. A little before the tragedy, Tokiko received a call that forced her to make a big decision while struggling with anxiety.",flow_information#04-002,【朱鷺子ルート・７周目】
flow_title#04-003,2. Everyone Gather?,flow_title#04-003,2.全員集合？
flow_title#04-006,3. Tokiko's Memory ①,flow_title#04-006,3.朱鷺子の回想①
flow_title#04-007,[Tokiko Route - 8th Loop],flow_title#04-007,【朱鷺子ルート・８周目】
flow_information#04-007,"Shinpei, looping again, began acting to save Tokiko. Meanwhile, Tokiko struggled alone with Haine's proposal.",flow_information#04-007,【朱鷺子ルート・８周目】
flow_title#04-008,4. The Origin of the Cold Voice,flow_title#04-008,4.冷たい声の正体は
flow_title#04-010,5. Some Hopes,flow_title#04-010,5.いくつかの希望
flow_title#04-011,6. The Window's Cry,flow_title#04-011,6.窓の叫び
flow_title#04-012,7. It's Already Too Late,flow_title#04-012,7.もう遅いんです
flow_title#04-014,8. Tokiko's Memory ②,flow_title#04-014,8.朱鷺子の回想②
flow_title#04-015,9. Turning the Situation Around,flow_title#04-015,9.形勢逆転
flow_title#04-016,10. Tokiko in the Darkness,flow_title#04-016,10.闇の中のトキコ
flow_title#04-017,11. A Heart Unraveling,flow_title#04-017,11.解けていく心
flow_title#04-018,12. I'm Always Watching,flow_title#04-018,12.いつも見てるから
flow_title#04-020,13. I'm Sorry,flow_title#04-020,13.ごめんね
flow_title#04-021,14. Always Together…,flow_title#04-021,14.ずっと一緒に……
flow_title#05-000,The Hero of Justice,flow_title#05-000,【正義の味方】
flow_information#05-000,"Feeling their efforts were limited against the island's phenomena, Shinpei asked the only police officer on the island, Tetsu Totsumura, for help. Totsumura promised to assist after seeing Shinpei's serious expression, but his actions would take the situation in an unexpected direction.",flow_information#05-000,【正義の味方】
flow_title#05-001,1. If It's Up to Me,flow_title#05-001,1.オレにかかれば
flow_title#05-002,2. The Shadow Mio's Goal,flow_title#05-002,2.影ミオの狙い
flow_title#05-003,3. Where's the Cop?,flow_title#05-003,3.刑事はどこに？
flow_title#05-004,4. A Job That Hopes for Peace,flow_title#05-004,4.平和を願う仕事
flow_title#05-006,5. Warning,flow_title#05-006,5.注意喚起
flow_title#05-007,6. Merging into the Night,flow_title#05-007,6.夜闇に紛れて
flow_title#05-008,7. Two Shadows,flow_title#05-008,7.ふたつの影
flow_title#05-009,8. The Nightmare Won't End,flow_title#05-009,8.悪夢は終わらない
flow_title#05-011,9. The Island's Hero,flow_title#05-011,9.島のヒーロー
flow_title#06-000,Reuniting with Kaori,flow_title#06-000,【かおりとの再会】
flow_information#06-000,Shinpei reunited with his elementary school classmate Kaori Koyuba and promised to contact her once he settled down.,flow_information#06-000,【かおりとの再会】
flow_title#06-001,1. Classmate,flow_title#06-001,1.同級生
flow_title#06-002,[Kaori Route - 3rd Loop],flow_title#06-002,【かおりルート・３周目】
flow_information#06-002,"Shinpei was killed after witnessing the entire incident of Totsumura's murder by Shadow Mio, and Kaori was also captured. Looping again, Shinpei rushed to save her.",flow_information#06-002,【かおりルート・３周目】
flow_title#06-003,2. Tampered Brakes,flow_title#06-003,2.細工されたブレーキ
flow_title#06-005,3. Deja Vu,flow_title#06-005,3.既視感
flow_title#06-007,[Kaori Route - 4th Loop],flow_title#06-007,【かおりルート・４周目】
flow_information#06-007,"Having looped since the festival night, Shinpei vowed to prevent the tragedy at all costs. To reduce the number of fans visiting, he tried to stop the live stream announcement. Kaori, however, looked stern.",flow_information#06-007,【かおりルート・４周目】
flow_title#06-008,4. What I Can Do,flow_title#06-008,4.オレにできることは
flow_title#06-010,5. Like an Idol,flow_title#06-010,5.まるでアイドルみたい
flow_title#06-011,6. The One to Protect,flow_title#06-011,6.守るべき人
flow_title#06-012,7. Koyuba Channel ①,flow_title#06-012,7.こゆばチャンネル①
flow_title#06-013,8. Kaori's Request,flow_title#06-013,8.かおりの頼み事
flow_title#06-014,9. Island Tour,flow_title#06-014,9.島の散策
flow_title#06-015,10. Koyuba Channel ②,flow_title#06-015,10.こゆばチャンネル②
flow_title#06-016,11. Crowding Fans,flow_title#06-016,11.押し寄せたファン
flow_title#06-017,12. Hitogashima Summer Festival,flow_title#06-017,12.日都夏祭り
flow_title#06-018,13. Prime Seats,flow_title#06-018,13.特等席
flow_title#06-020,14. Sacrificing Himself,flow_title#06-020,14.身を挺して
flow_title#06-022,15. A Gear Gone Wild,flow_title#06-022,15.狂い出した歯車
flow_title#06-023,16. Because Ajiro Was There,flow_title#06-023,16.網代くんがいたから
flow_title#06-024,17. Ending Together,flow_title#06-024,17.一緒に終わりを
flow_title#07-000,Epilogue: Ushio,flow_title#07-000,【エピローグ・潮】
flow_information#07-000,"Shinpei and Ushio reconnected, reaffirming they were irreplaceable to each other, but for some reason, their relationship felt awkward…",flow_information#07-000,【エピローグ・潮】
flow_title#07-001,1. Hiding Embarrassment,flow_title#07-001,1.照れ隠し
flow_title#07-002,2. A Long-Overdue Meal,flow_title#07-002,2.久しぶりの食卓
flow_title#07-003,3. Mysterious Sensations,flow_title#07-003,3.謎の感覚
flow_title#07-004,4. Complicating Relationship,flow_title#07-004,4.こじれる関係
flow_title#07-005,5. The Reason for Anger,flow_title#07-005,5.怒りの理由
flow_title#07-006,6. A Date?,flow_title#07-006,6.デート？
flow_title#07-007,7. Shinpei's Job,flow_title#07-007,7.慎平の仕事
flow_title#07-008,8. A Place for the Two of Them,flow_title#07-008,8.二人が会える場所
flow_title#07-010,Epilogue: Mio,flow_title#07-010,【エピローグ・澪】
flow_information#07-010,"Mio watched Shinpei and Ushio's reunion from afar, feeling complex emotions while seeing them argue yet get along.",flow_information#07-010,【エピローグ・澪】
flow_title#07-011,1. You're Gonna Hit Me?,flow_title#07-011,1.殴るんちごたん？
flow_title#07-012,"2. The Two Who Can't Say It, the Two Who Do",flow_title#07-012,2.伝えられない二人、伝える二人
flow_title#07-013,3. What's the Answer?,flow_title#07-013,3.返事は？
flow_title#07-015,Epilogue: Kaori,flow_title#07-015,【エピローグ・かおり】
flow_information#07-015,Shinpei reunited with his old friend Kaori Koyuba and ended up helping her find material for her talk show…,flow_information#07-015,【エピローグ・かおり】
flow_title#07-016,1. Reuniting with Kaori,flow_title#07-016,1.かおりとの再会
flow_title#07-017,2. Request from the Town Hall,flow_title#07-017,2.町役場の依頼
flow_title#07-018,3. Ushio's Proposal,flow_title#07-018,3.潮の提案
flow_title#07-019,4. Where Is the Time Capsule?,flow_title#07-019,4.タイムカプセルはどこに？
flow_title#07-020,5. Memories of Kofune,flow_title#07-020,5.コフネの思い出
flow_title#07-021,6. Time Capsule Notes,flow_title#07-021,6.タイムカプセルのメモ
flow_title#07-022,7. Touring the Island,flow_title#07-022,7.島中を巡って
flow_title#07-023,8. A Conversation Years Ahead,flow_title#07-023,8.何年も先の話
flow_title#07-025,Epilogue: Hizuru,flow_title#07-025,【エピローグ・ひづる】
flow_information#07-025,"Renowned mystery writer Hizuru Minakata was stuck in a severe creative slump. Waiting for her was her niece Hoine, who had returned to Hitogashima Island hoping it would be the breakthrough she desperately needed.",flow_information#07-025,【エピローグ・ひづる】
flow_title#07-026,1. Ryunosuke Nagumo Returns to Hitogashima,flow_title#07-026,1.南雲竜之介、日都ヶ島に帰る
flow_title#07-027,2. Hoine's Hitogashima Tour,flow_title#07-027,2.波稲の日都ヶ島案内
flow_title#07-028,3. Bonds of Close Friends,flow_title#07-028,3.親友たちの絆
flow_title#07-029,4. The Hero of Justice…?,flow_title#07-029,4.正義の味方……？
flow_title#07-030,5. Hunger Pangs,flow_title#07-030,5.空腹期収縮
flow_title#07-031,6. A Warrior in the Shadows,flow_title#07-031,6.人知れぬ戦士
flow_title#07-032,7. Light and Shadow,flow_title#07-032,7.光と影
flow_title#07-033,8. Open-Air Bath,flow_title#07-033,8.露天風呂
flow_title#07-034,9. Summer Time Rendering,flow_title#07-034,9.サマータイムレンダ
