source,target,id,developer_comments
tip_explanation#011,"Made from a seashell that Shinpei gifted her back in elementary school.
It seems she cherished it greatly, as it has been carefully maintained.
Ushio was apparently wearing it right up until the accident.",tip_explanation#011,潮のネックレス
tip_title#012,Ushio's Ability ①,tip_title#012,ウシオの能力①
tip_explanation#012,"The abilities Ushio gained access to after recovering her memories are as follows:

1. Copying: The ability to scan and copy a target.
2. Physical Prowess: The incredible physical capabilities possessed by Shadows.
3. Hair Blades: The ability to weaponize her hair into sharp blades.
4. Memory Sharing: The ability to let others share and relive her own memories.",tip_explanation#012,ウシオの能力①
tip_title#013,Ushio's Ability ②,tip_title#013,ウシオの能力②
tip_explanation#013,"When Shinpei loops, all events that occurred in the previous cycle are undone. However, Ushio alone is an exception; by looping alongside Shinpei, she retains her memories from previous cycles. It has become clear that Ushio can carry over not just memories, but also data scanned in previous cycles. This could be used to bring along weapons obtained in previous loops.",tip_explanation#013,ウシオの能力②
tip_title#014,Uozumi Inn,tip_title#014,海の宿魚住
tip_explanation#014,"We are a traditional inn boasting a 140-year history since the Meiji era. Located just a five-minute walk from the Hitogashima Island port, our inn sits upon a quiet hill overlooking the Kii Channel. Every room offers a panoramic view of the sea, and the breathtaking sunset seen from our open-air baths is sure to become a lifelong memory. Please enjoy our seasonal fish dishes, changing with the seasons.",tip_explanation#014,海の宿魚住
tip_title#015,Erika-chan,tip_title#015,エリカちゃん
tip_explanation#015,"Real name unknown. 21 years old. Blood type A.
Works part-time at Snack Miyako.
She loves music and has a bit of a geeky streak.
She is currently obsessed with 2.5D idols.
She receives passionate advances from Totsumura, but she doesn't seem entirely opposed to it.
Her snaggletooth is her charm point.",tip_explanation#015,エリカちゃん
tip_title#016,Trump Card,tip_title#016,奥の手
tip_explanation#016,"The trump card Hizuru had been hiding.
Taking advantage of the fact that Shide's mud (his armor material) contains zero information,
the plan is to have Ryunosuke possess that mud.
Ryunosuke will print his own data onto the stolen mud to acquire a new body,
while Shide, stripped of it, will lose his defenses.",tip_explanation#016,奥の手
tip_title#017,Umi-okuri (Sea Send-off),tip_title#017,御海送り
tip_explanation#017,"Hitogashima Island has a unique belief in castaway gods, stating that Hiruko-no-Mikoto resides within objects washed ashore and blesses them with bountiful catches. Umi-okuri (Sea Send-off) is a ritual held twice a year in summer and winter, where trash from the cleanup drive is carried on a shrine palanquin to the grounds, then burned to return it to the gods. It is said to bestow a blessing of good health upon the attendees.",tip_explanation#017,御海送り
tip_title#018,Omoto Beach,tip_title#018,万年青浜
tip_explanation#018,"A beautiful beach situated on the southern side of Hitogashima Island.
It is beloved as a swimming spot.
For those born and raised on the island, it is an extremely familiar location.
Restaurant Kofune is built right beside the road that runs along Omoto Beach.",tip_explanation#018,万年青浜
tip_title#019,"""I'll Protect You""",tip_title#019,オレが守る
tip_explanation#019,"When Shinpei and Ushio were children,
Ushio's prominent blonde hair and blue eyes made her a target for bullies.
Worried about her, Shinpei promised, ""I'll protect you,""
and gave her a seashell for her birthday.
Ushio still cherishes that seashell to this day.",tip_explanation#019,オレが守る
tip_title#020,I Was Infected,tip_title#020,オレは感染していた
tip_explanation#020,"The mysterious flash of light at Ushio's funeral.
That flash was emitted when the Shadow Shiori copied Shinpei.
Unbeknownst to him, Shinpei had been infected with Shadow Sickness since the very first loop.",tip_explanation#020,オレは感染していた
tip_title#021,Audio File,tip_title#021,音声ファイル
tip_explanation#021,"A mysterious audio file recorded on Hizuru Minakata's smartphone. Recorded in a Wakayama-accented female voice. Warns of impending disaster on Hitogashima Island involving Haine, culminating in mass casualties at Summer Festival 24th. Requires aid from Shinpei Ajiro. [Summarized - see notes]",tip_explanation#021,音声ファイル
tip_title#022,Kaori Was Dragged Into It…,tip_title#022,かおりが巻き込まれ……
tip_explanation#022,"July 22nd, 9:00 AM.
While lost in thought on the beach, Shinpei witnesses Shadow Mio murder and copy Totsumura,
and is subsequently stabbed himself.
Furthermore, Kaori, who happened to be passing by, is captured by Mio.
Unable to process what was happening,
Shinpei's consciousness faded to black.",tip_explanation#022,かおりが巻き込まれ……
tip_title#023,Kaori's Notes,tip_title#023,かおりのメモ
tip_explanation#023,"Population of 700. • Famous for mugwort mochi and salted squid guts. • Some people bought mochi right after arriving at the port. Looks tasty! • The sight of houses lining the slopes is so nostalgic. • ⇒ The sea breeze feels so good, the hills aren't even tiring! • Hitobuchi-sensei is still teaching here! • ⇒ I'll go see her if I have time. • The policeman is energetic and fun, too! • ⇒ The crime rate is virtually zero. • You can only cross over to Torashima (Tiger Island) at low tide.",tip_explanation#023,かおりのメモ
tip_title#024,Kaori's Love Letter,tip_title#024,かおりのラブレター
tip_explanation#024,"Dear Ajiro-kun, Leaving Hitogashima Island for Tokyo next week. Heartbroken over leaving you behind. Thank you for books—read every one. Some sci-fi was tough but fascinating. The first book's futuristic love note inspired this letter. I'll send it to my future self; hope we read it together… Love, Kaori Koyuba [Summarized - see notes]",tip_explanation#024,かおりのラブレター
tip_title#025,Shadow's Ability ①,tip_title#025,影の能力①
tip_explanation#025,"Shadows appear to possess the ability to spawn new Shadows.
These born Shadows can apparently replicate not only the physical appearance
but also the clothing and memories of the person they copy.",tip_explanation#025,影の能力①
tip_title#026,Shadow's Ability ②,tip_title#026,影の能力②
tip_explanation#026,"Shadows possess superhuman strength/speed. Their true body is a flat shadow; attacking their 3D form fails. Destroying the flat shadow kills them. They avoid touch on shadows, dodging steps. Weakness: Flat shadow must be struck for elimination. [Summarized - see notes]",tip_explanation#026,影の能力②
tip_title#027,Shadow's Ability ③,tip_title#027,影の能力③
tip_explanation#027,"Even if a Shadow's three-dimensional body sustains damage, they can recover using incredible healing abilities. However, damage sustained by their flat true body cannot be healed. In such cases, the damage is projected onto their 3D form, seemingly accompanied by pain. Furthermore, these injuries appear impossible to treat with standard medical care such as disinfection or sutures.",tip_explanation#027,影の能力③
tip_title#028,Shadow's Ability ④,tip_title#028,影の能力④
tip_explanation#028,"Shadow duplicates items by copying them. They can print their own forms or small objects onto strands of hair. Printing energy-based objects (e.g., power sources) only copies shape—no function. Function requires erasing original source. Benefits include reprinting depleted items, restoring full capacity without limits. [Summarized - see notes]",tip_explanation#028,影の能力④
tip_title#029,Shadow's Ability ⑤,tip_title#029,影の能力⑤
tip_explanation#029,"Two copy methods exist: transformation (projecting scanned data) and parturition (body splitting). Haine's offspring reproduce once; their descendants cannot. Transformation is limitless for all generations, but originals must be erased within seven days or disintegrate. [Summarized - see notes]",tip_explanation#029,影の能力⑤
tip_title#030,Shadow Sickness,tip_title#030,影の病
tip_explanation#030,"Something akin to an endemic disease passed down on Hitogashima Island.
It is said that if you contract Shadow Sickness, you will start seeing a shadow that looks exactly like you,
and those who see their shadow will be killed by it.
Many people used to fall ill with it in the past,
but it has rarely been heard of since the postwar era. It is said that those who fell ill were purified by Hiruko-sama.",tip_explanation#030,影の病
tip_title#031,Video of Shadow Mio,tip_title#031,影ミオの動画
tip_explanation#031,"A video capturing the figure of Mio standing in front of Kofune at around 9:00 AM on July 22nd.
The Mio in the video stands holding a kitchen knife, staring up at the second floor for about five minutes,
before turning and walking off towards the mountains.
Because the real Mio was taking a bath at this time,
it is impossible for this to be the real her. It is precious footage proving the existence of Shadow Mio.",tip_explanation#031,影ミオの動画
tip_title#032,Interference with the Past,tip_title#032,過去への干渉
tip_explanation#032,"Shinpei's desperate feelings reached Ryunosuke's ears.
Just as Haine reached out from her memories to leave a handprint on the present Shinpei,
it might be possible for Shinpei to do something similar.",tip_explanation#032,過去への干渉
tip_title#033,Gasoline,tip_title#033,ガソリン
tip_explanation#033,"A type of petroleum product. Used in various applications as a liquid fuel.
There are different types depending on its use and manufacturing method.
It is highly volatile and burns violently even with an extremely small ignition source like static electricity,
so mishandling it runs the risk of a major accident.",tip_explanation#033,ガソリン
tip_title#034,Capgras syndrome,tip_title#034,カプグラ症候群
tip_explanation#034,"A delusion in which one misidentifies a friend, spouse, parent, or other close relative
as having been replaced by an identical-looking impostor.
It can sometimes be caused by dementia or a head injury.
Records remain of a mass outbreak of this on Hitogashima Island in the past.",tip_explanation#034,カプグラ症候群
tip_title#035,Karikiri's Spare,tip_title#035,雁切のスペア
tip_explanation#035,"Karikiri has survived for over 300 years by switching bodies. In case he died or suffered severe injuries from an accident or illness, he preserved his own past bodies, but they were destroyed in the war. However, there's a high probability that the body of his predecessor, Iwao Karikiri, who died after the war, is still preserved somewhere, and using it as a spare would explain why there were two Shides. Though how exactly he operated it remains unclear.",tip_explanation#035,雁切のスペア
tip_title#036,Masahito Karikiri ①,tip_title#036,雁切真砂人①
tip_explanation#036,"The chief priest of the Hitogashima Shrine. The head of the Karikiri family, who manages the island's rituals.
He is very talkative, and if left alone, he will keep chatting endlessly.
He also has a gamer side to him,
sometimes traveling to Tokyo purely for gaming events.
He apparently attended a university in Tokyo during his student days.",tip_explanation#036,雁切真砂人①
tip_title#037,Masahito Karikiri ②,tip_title#037,雁切真砂人②
tip_explanation#037,"During the Edo period, Shidehiko Hishigata copulated with the god Haine and made her give birth. Perhaps due to the nature of Shadows, the child born grew to look exactly like Shidehiko. Seeing this, Shidehiko schemed to use Haine's power to transplant his memories into his son and rejuvenate himself. He has continued to make her give birth to him, surviving for 300 years— that is the true nature of Masahito Karikiri and Shide.",tip_explanation#037,雁切真砂人②
tip_title#038,Curry Sandwich Recipe,tip_title#038,カレーサンドのレシピ
tip_explanation#038,"Poke holes in a chicken breast with a fork, massage in salt and sugar, • sprinkle with sake, and microwave for 4-5 minutes. • Once cooked through, let it cool as is. • Shred the chicken and place it in a bowl. • Add mayonnaise and curry powder, mixing well. Taste and adjust. • Spread butter on sliced bread and top with frill lettuce. • Place the mixture from Step 2 on top to make a sandwich. • Cut in half and it's ready to serve.",tip_explanation#038,カレーサンドのレシピ
tip_title#039,The Observer's Power,tip_title#039,観測者の力
tip_explanation#039,"Shinpei's right eye views time from a high-dimensional perspective, observing countless parallel worlds. The observed world becomes objective reality; achievements there vanish in his own. He cannot fully master this power without ""death"" as a trigger, causing loops upon dying. Haine has not stolen Shinpei's right eye. [Summarized - see notes]",tip_explanation#039,観測者の力
tip_title#040,Keychain,tip_title#040,キーホルダー
tip_explanation#040,"A keychain of the popular character ""Egg Gentleman Eas-ta~kun"".
Since the first wave of merchandise was released in the early 2000s,
the Egg Gentleman series has garnered support across a wide range of ages.
Kaori has loved this character since she was a child,
and Shinpei remembers her collecting Egg Gentleman goods
for things like pencil boards and pencil cases.",tip_explanation#040,キーホルダー
tip_title#041,Deja Vu,tip_title#041,既視感
tip_explanation#041,"The feeling that one has previously experienced a situation
that is in fact entirely new.
Sometimes associated with memories from a past life.",tip_explanation#041,既視感
tip_title#042,Spider Form,tip_title#042,蜘蛛の姿
tip_explanation#042,"Just before 8:00 AM on July 22nd. The mud enveloping Shide absorbed nearby Shadows
and morphed into the shape of a giant spider.
With a wider field of vision and reach than his humanoid form,
Shinpei is tormented by movements unimaginably swift for a creature of that size.
The plan failed, and Shide's sharp arm impaled Shinpei.",tip_explanation#042,蜘蛛の姿
tip_title#043,Game Playboy,tip_title#043,ゲームプレイボーイ
tip_explanation#043,"Monthly gaming mag with over 30-year history; price fixed at 290 yen since launch. Slogan: ""Make games 100x better"" – covers news, honest reviews, unique perspectives. Totsumura reads June issue featuring ""Indie Games to Play Now"" and ""Gaming Salons in Asia-Pacific."" Gravure spread highlights rising idol Kaori Koyuba. Koba Mart sells 2 copies monthly; they sell out instantly, so Hitogashima Island children are unaware. [Summarized - see notes]",tip_explanation#043,ゲームプレイボーイ
tip_title#044,The Sewers,tip_title#044,下水道
tip_explanation#044,"There has always been a vast space running beneath Hitogashima Island.
Combined with countless underground passageways and sewers dug by the military,
it has morphed into an extremely complex maze.
No one knows its full layout anymore.
It is believed the Shadows utilized the sewers and such when moving around unseen.",tip_explanation#044,下水道
tip_title#045,Koba Mart,tip_title#045,コバマート
tip_explanation#045,"The only supermarket on Hitogashima Island.
Its predecessor was the Kobayakawa Store, which operated since before the war. Opens at 8:00 AM.
The owner is Tatsuo Kobayakawa.
His wife Asako, whom he married 10 years ago, is a licensed pharmacist,
allowing them to sell everything from daily necessities to medicines.
Koba Mart is inextricably linked to the daily lives of the islanders.",tip_explanation#045,コバマート
tip_title#046,The Kobayakawa Family Disappearance,tip_title#046,小早川家の失踪
tip_explanation#046,"July 23rd, 8:00 AM.
Even though it was opening time, Koba Mart's shutters remained closed.
When the neighbor, Shiomi-san, grew suspicious and peeked into the main house, it was completely empty.
With no signs of having left the island by ferry,
the three members of the Kobayakawa family vanished into thin air overnight.",tip_explanation#046,小早川家の失踪
tip_title#047,Shiori Kobayakawa ①,tip_title#047,小早川しおり①
tip_explanation#047,"A third-grade elementary school student. The daughter of Tatsuo and Asako Kobayakawa, who run Hitogashima Island's only supermarket, ""Koba Mart."" She is a bit precocious and strong-willed. Her friends tease her because she is a poor swimmer. On July 21st, she began to drown in the sea, but her life was saved by Ushio's desperate rescue efforts. However, the shock of losing the Ushio who saved her left her unable to speak.",tip_explanation#047,小早川しおり①
tip_title#048,Shiori Kobayakawa ②,tip_title#048,小早川しおり②
tip_explanation#048,"Shiori Kobayakawa was a Shadow.
Something flashed at Ushio's funeral venue during the 1st and 2nd loops,
but nothing flashed in the 3rd loop.
The reason for the difference was because Shinpei told her about Shadows,
putting her on guard.
The flash in the 1st and 2nd loops is believed to be from a copy taking place, but it is unknown who at the funeral was targeted.",tip_explanation#048,小早川しおり②
tip_title#049,Alain Kofune,tip_title#049,小舟アラン
tip_explanation#049,"Born in 1959, 59 years old. Originally from France.
When he was 32, he met and fell in love with Kotoko, then 20, who had come to study abroad from Japan.
Three years later, he immigrated to Hitogashima Island, married Kotoko,
and opened Restaurant Kofune.
Kotoko never fully recovered after giving birth to their second daughter Mio and passed away,
but he lives a happy life surrounded by his biological daughters Ushio and Mio, and his foster son Shinpei.",tip_explanation#049,小舟アラン
tip_title#050,Ushio Kofune,tip_title#050,小舟潮
tip_explanation#050,"Born 2000 (17), blood type A. Prefectural high school senior on mainland. French father Alain, Japanese mother Kotoko. Blonde hair from father; strong-willed, teased in elementary school for her look. Bakes cookies/chiffon cake. Hates supernatural phenomena. Looked forward to Summer Festival but died July 21 in marine accident. [Summarized - see notes]",tip_explanation#050,小舟潮
tip_title#051,Mio Kofune,tip_title#051,小舟澪
tip_explanation#051,"Born October 20, 2002 (age 15). Blood type A. Younger sibling of Ushio Kofune; takes after mother with black hair, sun-tanned like her youth. High school freshman at same prefectural high as Ushio. Excellent athlete; won swim medals. Loves food, poor cook. Considers Ushio the most beautiful, sees herself as her opposite. Shinpei notes she mirrors Alain's traits in affection and competitiveness. [Summarized - see notes]",tip_explanation#051,小舟澪
tip_title#052,Kaori Koyuba ①,tip_title#052,小弓場かおり①
tip_explanation#052,"Born November 2, 2000. 17 years old. Blood type A.
A former classmate during their days at the Hitogashima Island Elementary and Middle School.
She currently lives in Tokyo, but lived on Hitogashima Island until the 5th grade.
She was shy and withdrawn, and often spent her time reading books in the library.
She loves a character named ""Egg Gentleman Eas-ta~kun.""",tip_explanation#052,小弓場かおり①
tip_title#053,Kaori Koyuba ②,tip_title#053,小弓場かおり②
tip_explanation#053,"One of the top idols of the present day.
Boasting high vocal and acting abilities, she is widely loved across generations
for her polite and approachable personality, and the occasional glimpses of an airhead.
At the 2017 Red and White Song Battle,
the group she belongs to performed as the closing act. She loves her hometown of Hitogashima Island, and never misses out on her hometown tax donations each year.",tip_explanation#053,小弓場かおり②
tip_title#054,Koyuba Channel,tip_title#054,こゆばチャンネル
tip_explanation#054,"The official channel opened by Kaori Koyuba on a video streaming site.
Aside from the latest info on new songs and live concerts,
it is also utilized for interacting with her fans.
Perhaps owing to Kaori's personality and her attitude towards cherishing her fans, her live streams
see virtually no troll comments.",tip_explanation#054,こゆばチャンネル
tip_title#055,Broken Brakes,tip_title#055,壊れたブレーキ
tip_explanation#055,"The reason Mio fell into the sea was because her bicycle's brakes were broken.
There were marks resembling a cut made into the wire;
if it was a prank, it was a highly dangerous and malicious one.",tip_explanation#055,壊れたブレーキ
tip_title#056,The Night of the Tragedy,tip_title#056,惨劇の夜
tip_explanation#056,"July 24th, just past 8:30 PM.
The Hitogashima Shrine live concert venue, bustling with excitement from Kaori's appearance,
turned into a hellscape.
A four-armed monster that suddenly appeared
lead an army of Shadows to slaughter the audience one after another.
Shinpei desperately fought back, but was helpless and killed. Is there truly no way to stop that tragedy?",tip_explanation#056,惨劇の夜
tip_title#057,Shizuka Shiomi,tip_title#057,汐見静
tip_explanation#057,"The woman living next door to Koba Mart.
She has known Asako Kobayakawa, the owner's wife, for a long time since they were children.
She is talkative and can speak intimately with anyone.
Her neighborhood gossip network surpasses the internet,
making her the most well-informed person regarding the island's human relations.",tip_explanation#057,汐見静
tip_title#058,Project Results Report,tip_title#058,事業成果報告書
tip_explanation#058,"Summary of tourism results on Hitogashima Island reveals declining annual tourist numbers, with individual travelers outpacing tour groups. Low youth awareness identified as a key challenge. Proposed improvements include enhancing outreach, transportation access, lodging options, anime/movies promotion, and subsidy applications. [Summarized - see notes]",tip_explanation#058,事業成果報告書
tip_title#059,Shide,tip_title#059,シデ
tip_explanation#059,"Haine's guardian. A massive four-armed monster.
Nothing else is known about him yet besides the name Shide.",tip_explanation#059,シデ
tip_title#060,Stain Left on the Ground,tip_title#060,地面に残されたシミ
tip_explanation#060,"With just a touch from Shadow Totsumura, Totsumura's corpse vanished without a trace,
leaving nothing but a stain on the ground where it had been.",tip_explanation#060,地面に残されたシミ
tip_title#061,Incendiary Bomb,tip_title#061,焼夷弾
tip_explanation#061,"A type of bomb designed to start fires.
Filled with oil, they burn the entire surrounding area upon impact.
They were used during the war to burn down the wooden houses that were common in Japan at the time.",tip_explanation#061,焼夷弾
tip_title#062,Corrosive Sublimate,tip_title#062,昇汞
tip_explanation#062,"Mercuric chloride. A deadly poison.
Its handling is strictly restricted by the Poisonous and Deleterious Substances Control Law,
but it used to be employed for disinfection and sterilization.
Direct contact alone can cause dermatitis or nervous system abnormalities,
and it is so highly toxic that drinking even a single drop leads to death.",tip_explanation#062,昇汞
tip_title#063,Shinja Marsh,tip_title#063,深蛇池
tip_explanation#063,"A pond in Hitogashima Shrine's sacred forest, part of a wetland designated as a prefectural natural monument. Local lore says En no Gyoja sealed a giant serpent here after it tormented Awaji Island and mainland. En no Ozunu cornered it with a divine sword, sparing its life upon promise of good behavior. [Summarized - see notes]",tip_explanation#063,深蛇池
tip_title#064,Shinpei's Parents ①,tip_title#064,慎平の両親①
tip_explanation#064,"His father is Toru, and his mother is Akemi. Both are underwater archaeologists. An underwater archaeologist is an expert equipped with the skills to survey underwater, and their targets range widely from sunken ships to submerged ruins. Neither was a native of Hitogashima Island, but they loved the island, overflowing with rich nature and history, and lived happy days there. However, 10 years ago in 2008, their boat sank during an accident at work, and they never returned.",tip_explanation#064,慎平の両親①
tip_title#065,Shinpei's Parents ②,tip_title#065,慎平の両親②
tip_explanation#065,"A secret medical record was hidden in the Hishigata Clinic. The diagnoses were all listed as Capgras syndrome, but it was actually a registry of those who became food for Haine. The names of Toru and Akemi Ajiro, who supposedly died in a boating accident, were also there. After discovering the Hiruko Cave during a survey in the waters near Hitogashima Island, the two tried to announce it, but were killed by Shide to keep them quiet.",tip_explanation#065,慎平の両親②
tip_title#066,Reason Not to Kill Shinpei,tip_title#066,慎平を殺さない理由
tip_explanation#066,"July 24th. Shadow Shinpei, who appeared on the night of the festival, read Shinpei's memories and realized his looping ability. The Shadows seemingly have a grand objective, and Shadow Mio attempts to kill Shinpei, seeing him as an obstacle, but is stopped by Shadow Shinpei. Shadow Shinpei said: ""If we let Shinpei die, we might just return to the 22nd again. Therefore, he must not be killed until everything is finished.""",tip_explanation#066,慎平を殺さない理由
tip_title#067,The Person I Love,tip_title#067,好きな人
tip_explanation#067,"Mio mustered her courage and confessed her feelings,
but Shinpei says the one he loves is Ushio.
Even though she already knew,
hearing it said clearly was a huge shock.
But still, Mio is Shinpei's precious little sister.
Even if they can't be as close as lovers, they won't drift any further apart than they are now.
Mio feels it was better to have bravely spoken up than to live carrying around those clouded feelings.",tip_explanation#067,好きな人
tip_title#068,Snack Miyako,tip_title#068,スナック都
tip_explanation#068,"Central-town snack bar near Hitogashima Port. Daytime café popular with island kids. Open 11 AM–6 PM; nightly sessions 7 PM–midnight. Frequented by officer Totsumura, earning it ""Miyako Police Box"" moniker. Staff secretly dub him ""T-800"" for his 800-yen liquor orders. [Summarized - see notes]",tip_explanation#068,スナック都
tip_title#069,Champion of Justice,tip_title#069,正義の味方
tip_explanation#069,"Totsumura's father was a revered police officer who embodied justice. Young Totsumura idolized him as a superhero, inspiring his own career choice. However, Hitogashima Island's peaceful duties clashed with his grand expectations. His laziness led to repeated exam failures, stalling advancement. Yet his inner resolve for justice remains unshaken. [Summarized - see notes]",tip_explanation#069,正義の味方
tip_title#070,Time Capsule,tip_title#070,タイムカプセル
tip_explanation#070,"A time capsule buried by everyone at school about 7 years ago,
when Kaori moved away.
Not just Shinpei and Kaori, but students from other grades also participated.
Various things were stuffed inside, including toys, notebooks, and letters.",tip_explanation#070,タイムカプセル
tip_title#071,Mt. Takanosu,tip_title#071,タカノス山
tip_explanation#071,"The mountainous area in the western part of the island.
Wartime historical sites remain here, such as the ruins of the first and third gun batteries, and the searchlight post.
It boasts the highest elevation on the island.
On the west coast lies the Hitogashima Island Lighthouse and the ruins of the second gun battery.",tip_explanation#071,タカノス山
tip_title#072,Tokiko's a Shadow!?,tip_title#072,朱鷺子が影！？
tip_explanation#072,"July 22nd, just before 8:00 AM. Having shared his memories with his comrades through pseudo-looping, Shinpei and the others gathered at the school to intercept Haine and her forces. Ushio tries to stop Shinpei as he goes to greet Tokiko, who arrived late. However, she didn't make it in the nick of time, and Shinpei was shot to death by Tokiko. Tokiko was a Shadow. Unable to process it, Shinpei's consciousness faded.",tip_explanation#072,朱鷺子が影！？
tip_title#073,Tokiko's Anger,tip_title#073,朱鷺子の怒り
tip_explanation#073,"July 22nd, 8:00 AM. Haine will betray the Hishigata family— Even conveying this truth, Tokiko turns a deaf ear. In the fierce battle, Sou takes a fatal wound while protecting Mio. Though shaken by having put Mio and Sou in danger, Tokiko deals the finishing blow to Shinpei with a ghastly expression. Was it out of desperation, or was it to redo everything? Perhaps her anger was directed at herself.",tip_explanation#073,朱鷺子の怒り
tip_title#074,Unsolvable Code,tip_title#074,解けない暗号
tip_explanation#074,"This refers to ""Tamam Shud,"" the cipher that appears in Ryunosuke Nagumo's work ""Drift."" It originates from a code held by an unidentified corpse discovered in Australia in the 1940s. It contains a string of incomprehensible alphabet letters, and what it represents remains unsolved to this day. In the story of ""Drift,"" it appears in a way that allows for meta-level deduction.",tip_explanation#074,解けない暗号
tip_title#075,Tokoyo,tip_title#075,常世
tip_explanation#075,"Haine's homeland, far beyond the distant sea.
A mysterious world that living creatures of this realm cannot reach.
The flow of time is stagnant there, making it an eternal, unchanging world.",tip_explanation#075,常世
tip_title#076,doppelgänger,tip_title#076,ドッペルゲンガー
tip_explanation#076,"An entity that looks exactly like oneself.
They have been spoken of since ancient times in legends and myths worldwide,
and superstitions claiming that one who sees their doppelgänger will die are also well-known.",tip_explanation#076,ドッペルゲンガー
tip_title#077,Tetsu Totsumura,tip_title#077,凸村哲
tip_explanation#077,"A police officer working at the island's only police box, and a self-proclaimed ""Champion of Justice.""
34 years old. A relative of the Kofune family. His trademarks are his Western hat, sunglasses,
and stubble.
Browsing erotic websites is his daily routine. He seems like a womanizer, but he's actually single-minded,
and currently harbors feelings for a woman at a certain snack bar.",tip_explanation#077,凸村哲
tip_title#078,Torashima (Tiger Island),tip_title#078,虎島
